Frame, Timestamp (s), Full_Extracted_Watermark
0, 0.0, "ROVE Rz-AKDUAL 05/13/2024 04:38:39PM DD EN5 21"
1, 0.03, "ROVE R2-AKDUAL 05/13/2024 04:38:39PM DD EN5 21"
2, 0.07, "ROVE R2-AKDUAL 05/13/2024 04:38.40PM DD EN5 21"
3, 0.1, "ROVE R2-AKDUAL 05/13/2024 04:38:40PM DD EN5 21"
4, 0.13, "ROVE R2-AKDUAL 05 /13/2024 04:38.40PM DD EN5 21"
5, 0.17, "ROVE R2-AKDUAL 05/13 /2024 04:38.40PM DD EN5 21"
6, 0.2, "ROVE R2-AKDUAL 05/13/2024 04:38:41PM DD EN5 21"
7, 0.23, "ROVE R2-AK DUAL 05/13/2024 04:38:41PM DD EN5 21"
8, 0.27, "ROVE R2-AK DUA 0 5/13/2024 04.38:42PM N43944 '54 W79'17 '9 11KM /H DDEN521"
9, 0.3, "ROVE R2-4KDUAL 0 5/13/2024 04:38:42PM N43944 '54 W79'17 '9 II 11KM /H DDEN521"
10, 0.33, "ROVE R2-4K DUAL 05/13/2024 04:38:42PM N43944 '54 W79'17 '9 " 11KM /H DDEN521"
11, 0.37, "ROVE R2-AK DUA 05/13/2024 04:38:42PM N43944 '54 W79'17 '9 " 11KM/H DDEN521"
12, 0.4, "ROVE R2-AK DUA 05/13/2024 04:38:43PM N43944 '54 W79'17 '9 " 7KM /H DDEN521"
13, 0.43, "ROVE R2-4K DUAL 05/13/2024 04:38:43PM N43944 '54 W79'17 '9 " 7KM /H DDEN521"
14, 0.47, "ROVE R2-4KDUAL 05/13/2024 04:38:43PM N43944 55 W79*17 '9 " 3KM /H DDEN521"
15, 0.5, "ROVE R2-4KDUAL 05/13/2024 04.38:43PM N43944 '55 W79*17 '9 " 3KM /H DDEN5 21"
16, 0.53, "ROVE R2-4KDUAL 05/13/2024 04:38:44PM N43944 55 " W79*17 '9 II 3KM /H DDEN5 21"
17, 0.57, "ROVE R2-4K DUAL 05/13/2024 04:38:44PM N43944 '55 " W79*17 '9 " 3KM /H DD EN5 21"
18, 0.6, "ROVE R2-4K DUAL 05/13/2024 04:38:44PM N43944 '57" W79*17 '8 II 3KM /H DD EN521"
19, 0.63, "ROVE R2-4K DUAL 05/13/2024 04:38:44PM N43944 '57" W79*17 '8 II 3KM /H DDEN521"
20, 0.67, "ROVE R2-4KDUAL 0 5/13/2024 04:38:45PM N43944 57 " W79*17 '8 II 3KM /H DDEN521"
21, 0.7, "ROVE R2-AKDUAL 05/13/2024 04:38:45PM N43944 57 " W79*17 '8 II 3KM /H DDEN521"
22, 0.73, "ROVE R2-4KDUAL 05/13/2024 04:38:45PM N43944 '57" W79*17 '8 II 3KM /H DDEN521"
23, 0.77, "ROVE R2-4K DUAL 05/13/2024 04.38:45PM N43944 '57" W79*17 '8 II 3KM /H DDEN521"
24, 0.8, "ROVE R2-4KDUAL 05/13/2024 04:38.46PM N43944 57 " W79*17 '7 " 1KM /H DDEN521"
25, 0.83, "ROVE R2-AKDUAL 0 5/13/2024 04:38.46PM N43944 57 " W79*17 '7 " 1KM /H DDEN521"
26, 0.87, "ROVE R2-AKDUAL 05/13 /2024 04:38.46PM N43944 '57" W79*17 '7 " 1KM /H DDEN5 21"
27, 0.9, "ROVE R2-AKDUAL 05/13/2024 04:38.46PM N43944 '57" W79*17 '7 " 1KM /H DDEN521"
28, 0.93, "ROVE R2-AKDUAL  0 5 /13/2024 04:38.46PM N43944 '57" W79*17 '7 " 1KM /H DDEN5 21"
29, 0.97, "ROVE R2-AKDUAL 05/13/2024 04.38:47PM N43944 '57" W79*17 '7 " 1KM/H DDEN5 21"
30, 1.0, "ROVE R2-AKDUAL 05/13/2024 04.38:47PM N43944 '57 II W79'17 '7 " 1KM/H DDEN521"
31, 1.03, "ROVE R2-AKDUAL 05/13/2024 04:38:47PM N43944 '57 II W79'17 '7 " 1KM /H DDEN521"
32, 1.07, "ROVE R2-AK DUAL 05/13/2024 04:38:47PM N43944 '57 I W79'17 '7 " 1KM /H DDEN521"
33, 1.1, "ROVE R2-AK DUAL 05/13/2024 04:38:48PM N43944 '57 I W79'17 '7 " 1KM/H DDEN521"
34, 1.13, "ROVE R2-AK DUAL 05/13/2024 04.38:48PM N43944 '57 I W79'17 '7 " 1KM/H DDEN521"
35, 1.17, "ROVE R2-AK DUAL 05/13/2024 04:38:48PM N43944 '57" W79'17 '7 " 1KM/H DD EN521"
36, 1.2, "ROVE R2 AK DUAL 0 5/13/2024 04:38:48PM N43944 57" W79'17 '7 " 1KM/H DDEN521"
37, 1.23, "ROVE R2-AKDUAL 05/13/2024 04:38:49PM N43944 57" W79'17 '7 " 1KM/H DDEN521"
38, 1.27, "ROVE R2-AKDUAL 05/13/2024 04:38:49PM N43944 57 " W79'17 '7 " 1KM/H DDEN521"
39, 1.3, "ROVE R2-AK DUA 0 5/13/2024 04:38:49PM N43944 '57" W79o17 '7 " 1KM/H DD EN521"
40, 1.33, "ROVE R2-AK DUA 0 5/13/2024 04:38:49PM N43944 57" W79'17 '7 " 1KM/H DDEN521"
41, 1.37, "ROVE R2-AK DUAL 0 5/13/2024 04.38:50PM N43944 57 " W79'17 '7 " 1KM/H DDEN521"
42, 1.4, "ROVE R2-AKDUAL 05/13/2024 04:38:50PM N43944 '57" W79'17 '7 " 1KM/H DD EN521"
43, 1.43, "ROVE R2-AK DUAL 05/13/2024 04.38:50PM N43944 '57" W79'17 '7 " 1KM/H DD EN521"
44, 1.47, "ROVE R2 AKDUAL05/13/2024 04:38:50PM N43944 '57" W79'17 '7 " 1KM/H DD EN521"
45, 1.5, "ROVE R2 AKDUAL 05/13/2024 04:38:51PM N43944 57 " W79'17 '7 " 0KM /H DDEN521"
46, 1.53, "ROVE R2-AKDUAL 05/13/2024 04.38:51PM N43944 '57" W79'17 '7 " 0KM /H DD EN521"
47, 1.57, "ROVE R2-AK DUA 0 5/13/2024 04:38:51PM N43944 '57" W79'17 '7 " 0KM /H DD EN521"
48, 1.6, "ROVE R2-AK DUAL 0 5/13/2024 04.38:51PM N43944 57 " W79'17 '7 " 0KM /H DDEN521"
49, 1.63, "ROVE R2-AK DUAL 05/13/2024 04.38:5 2PM N43944 '57" W79'17 '7 " 0KM /H DDEN521"
50, 1.67, "ROVE R2-AK DUAL 05/13/2024 04.38:5 2PM N43944 '57 II W79'17 '7 " 0KM /H DD EN521"
51, 1.7, "ROVE R2-AK DUAL 05/13/2024 04:38:5 2PM N43944 '57" W79'17 '7 " 0KM /H DDEN521"
52, 1.73, "ROVE R2-AK DUAL 05/13/2024 04:38:5 2PM N43944 57" W79'17 '7 " 0KM /H DDEN521"
53, 1.77, "ROVE R2-AK DUAL 05/13/2024 04:38:53PM N43944 57" W79'17 '7 " 0KM /H DDEN521"
54, 1.8, "ROVE R2-AK DUAL 05/13/2024 04:38:53PM N43944 57" W79'17 '7 " 0KM /H DD EN521"
55, 1.83, "ROVE R2-AKDUAL 05/13 /2024 04.38:53PM N43944 57" W79o17 '7 " 0KM /H DDEN521"
56, 1.87, "ROVE Rz-AKDUAL 05/13/2024 04:38:53PM N43944 57" W79'17 '7 " 0KM /H DDEN521"
57, 1.9, "ROVE Rz-AKDUAL 05/13/2024 04:38:53PM N43944 '57" W79'17 '7 " 0 KM /H DD EN521"
58, 1.93, "ROVE Rz AKDUA 05/13/2024 04.38:54PM N43944 57" W79'17 '7 " 0 KM /H DD EN521"
59, 1.97, "ROVE R2-AKDUAL 05/13 /2024 04.38:54PM N43944 57" W79'17 '7 I 0KM /H DD EN521"
60, 2.0, "ROVE Rz-AKDUAL 05/13/2024 04:38:54PM N43944 57 " W79*17 '7 " 0 KM /H DDEN521"
61, 2.03, "ROVE Rz-AKDUAL 05/13/2024 04:38:54PM N43944 '57" W79*17 '7 " 0 KM /H DDEN521"
